query_id,split,family,persona,fid,gt,pair_id,off_rel,off_dec,menu_rel,menu_dec,abac_perm_rel,abac_perm_dec,abac_restr_rel,abac_restr_dec,r3only_rel,r3only_dec,pdp_rel,pdp_dec,pdp_tr_rel,pdp_tr_dec
Q0073,standard,,F_CMP:E_F_CMP,G05-00555,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0074,standard,,F_CMP:E_F_CMP,G05-00537,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0075,standard,,H_HR:E_H_HR,G05-00470,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0076,standard,,H_HR:E_H_HR,G05-00550,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0077,standard,,F_PAY:E_F_PAY,G05-00537,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0078,standard,,F_PAY:E_F_PAY,G05-00561,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0079,standard,,B_RHQ:E_B_RHQ,G05-00512,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0080,standard,,B_RHQ:E_B_RHQ,G05-00496,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0081,standard,,B_BR:E_B_BR,G02-00342,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0082,standard,,B_BR:E_B_BR,G02-00217,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0083,standard,,B_RHQ:E_B_RHQ,G02-00172,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0084,standard,,B_RHQ:E_B_RHQ,G02-00092,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0085,standard,,C_CC:E_C_CC,G02-00177,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0086,standard,,C_CC:E_C_CC,G02-00252,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0087,standard,,H_HR:E_H_HR,G02-00182,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0088,standard,,H_HR:E_H_HR,G02-00207,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0089,standard,,F_PAY:E_F_PAY,G02-00082,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0090,standard,,F_PAY:E_F_PAY,G02-00302,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0091,standard,,F_CMP:E_F_CMP,G02-00217,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0092,standard,,F_CMP:E_F_CMP,G02-00082,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0093,standard,,B_BR:E_B_BR,G02-00569,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
