query_id,split,family,persona,coords,arm,attr_used,treq_used,k,ledger,fid,released,gt_action,leak,over,rule,reason,canary_ref,gt_peritem_tier
A0565,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,abac_restr,CP,3,5,,G02-02597,0,withhold,0,0,abac_restr,tier 3<=max 2,,0
A0565,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,idpdm,CP,3,5,,G02-02597,0,withhold,0,0,D_final,tier 3>2,,0
A0566,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,ungoverned,LN,2,5,G02-02597,G05-02596,1,withhold,1,0,-,no-governance,,2
A0566,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,menu,LN,2,5,G02-02597,G05-02596,1,withhold,1,0,menu,template-level,,2
A0566,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,abac_perm,LN,2,5,G02-02597,G05-02596,1,withhold,1,0,abac_perm,cell-open(≤2) tier-blind,,2
A0566,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,abac_restr,LN,2,5,,G05-02596,1,withhold,1,0,abac_restr,tier 2<=max 2,,2
A0566,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,idpdm,LN,2,5,,G05-02596,0,withhold,0,0,R1,R1:t_eff=3>2 (n=1<k=5),,2
A0568,adversarial,F7-join-skip,B_BR:E_B_BR,gt,ungoverned,LN,2,5,,G05-02596,1,release,0,0,-,no-governance,,2
A0568,adversarial,F7-join-skip,B_BR:E_B_BR,gt,menu,LN,2,5,,G05-02596,1,release,0,0,menu,template-level,,2
A0568,adversarial,F7-join-skip,B_BR:E_B_BR,gt,abac_perm,LN,2,5,,G05-02596,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,2
A0568,adversarial,F7-join-skip,B_BR:E_B_BR,gt,abac_restr,LN,2,5,,G05-02596,1,release,0,0,abac_restr,tier 2<=max 3,,2
A0568,adversarial,F7-join-skip,B_BR:E_B_BR,gt,idpdm,LN,2,5,,G05-02596,1,release,0,0,R1skip,R1:skip(권한상대),,2
A0569,adversarial,F7-join-skip,B_BR:E_B_BR,gt,ungoverned,CP,3,5,G05-02596,G02-02597,1,release,0,0,-,no-governance,,3
A0569,adversarial,F7-join-skip,B_BR:E_B_BR,gt,menu,CP,3,5,G05-02596,G02-02597,1,release,0,0,menu,template-level,,3
A0569,adversarial,F7-join-skip,B_BR:E_B_BR,gt,abac_perm,CP,3,5,G05-02596,G02-02597,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,3
A0569,adversarial,F7-join-skip,B_BR:E_B_BR,gt,abac_restr,CP,3,5,G05-02596,G02-02597,1,release,0,0,abac_restr,tier 3<=max 3,,3
A0569,adversarial,F7-join-skip,B_BR:E_B_BR,gt,idpdm,CP,3,5,G05-02596,G02-02597,1,release,0,0,R3,R3:ok,,3
A0571,adversarial,F7-neg,F_PAY:E_F_PAY,gt,ungoverned,PB,2,5,,G09-00599,1,release,0,0,-,no-governance,,2
A0571,adversarial,F7-neg,F_PAY:E_F_PAY,gt,menu,PB,2,5,,G09-00599,1,release,0,0,menu,template-level,,2
A0571,adversarial,F7-neg,F_PAY:E_F_PAY,gt,abac_perm,PB,2,5,,G09-00599,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,2
A0571,adversarial,F7-neg,F_PAY:E_F_PAY,gt,abac_restr,PB,2,5,,G09-00599,1,release,0,0,abac_restr,tier 2<=max 3,,2
A0571,adversarial,F7-neg,F_PAY:E_F_PAY,gt,idpdm,PB,2,5,,G09-00599,1,release,0,0,R3,R3:ok,,2
A0572,adversarial,F7-neg,F_PAY:E_F_PAY,gt,ungoverned,PB,2,5,G09-00599,G09-00602,1,release,0,0,-,no-governance,,2
A0572,adversarial,F7-neg,F_PAY:E_F_PAY,gt,menu,PB,2,5,G09-00599,G09-00602,1,release,0,0,menu,template-level,,2
A0572,adversarial,F7-neg,F_PAY:E_F_PAY,gt,abac_perm,PB,2,5,G09-00599,G09-00602,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,2
A0572,adversarial,F7-neg,F_PAY:E_F_PAY,gt,abac_restr,PB,2,5,G09-00599,G09-00602,1,release,0,0,abac_restr,tier 2<=max 3,,2
A0572,adversarial,F7-neg,F_PAY:E_F_PAY,gt,idpdm,PB,2,5,G09-00599,G09-00602,1,release,0,0,R3,R3:ok,,2
Q0001,standard,,H_HR:E_H_HR,gt,ungoverned,PB,2,5,,G09-00602,1,release,0,0,-,no-governance,,2
Q0001,standard,,H_HR:E_H_HR,gt,menu,PB,2,5,,G09-00602,1,release,0,0,menu,template-level,,2
Q0001,standard,,H_HR:E_H_HR,gt,abac_perm,PB,2,5,,G09-00602,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,2
Q0001,standard,,H_HR:E_H_HR,gt,abac_restr,PB,2,5,,G09-00602,1,release,0,0,abac_restr,tier 2<=max 3,,2
Q0001,standard,,H_HR:E_H_HR,gt,idpdm,PB,2,5,,G09-00602,1,release,0,0,R3,R3:ok,,2
Q0002,standard,,H_HR:E_H_HR,gt,ungoverned,PB,2,5,,G09-00773,1,release,0,0,-,no-governance,,2
Q0002,standard,,H_HR:E_H_HR,gt,menu,PB,2,5,,G09-00773,1,release,0,0,menu,template-level,,2
Q0002,standard,,H_HR:E_H_HR,gt,abac_perm,PB,2,5,,G09-00773,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,2
Q0002,standard,,H_HR:E_H_HR,gt,abac_restr,PB,2,5,,G09-00773,1,release,0,0,abac_restr,tier 2<=max 3,,2
Q0002,standard,,H_HR:E_H_HR,gt,idpdm,PB,2,5,,G09-00773,1,release,0,0,R3,R3:ok,,2
Q0003,standard,,F_PAY:E_F_PAY,gt,ungoverned,PB,2,5,,G09-00752,1,release,0,0,-,no-governance,,2
Q0003,standard,,F_PAY:E_F_PAY,gt,menu,PB,2,5,,G09-00752,1,release,0,0,menu,template-level,,2
Q0003,standard,,F_PAY:E_F_PAY,gt,abac_perm,PB,2,5,,G09-00752,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,2
Q0003,standard,,F_PAY:E_F_PAY,gt,abac_restr,PB,2,5,,G09-00752,1,release,0,0,abac_restr,tier 2<=max 3,,2
